subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Harsh,1,34,0.103386879,0.159010172,0.055623293,0.071032047,0.08381319,0.012781143,0.109282255,0.092258692,-0.017023563,0.094579935,0.188233852,0.093653917,0.081382036,0.240751982,0.159369946,0.113723755,0.141074419,0.027350664,0.124935389,0.120698452,-0.004236937,0.101881266,0.103807211,0.001925945,0.110419989,0.032916307,-0.077503681,0.144455671,0.205256224,0.060800552,0.115493298
Harsh,1,35,0.098247766,0.159764528,0.061516762,0.070605278,0.120533466,0.049928188,0.089982986,0.134807348,0.044824362,0.117779255,0.356571198,0.238791943,0.083640814,0.264480591,0.180839777,0.098494291,0.200933218,0.102438927,0.131430864,0.129929781,-0.001501083,0.134511471,0.072822571,-0.0616889,0.126133442,0.068233252,-0.05790019,0.129004002,0.188968897,0.059964895,0.161351204
Harsh,1,36,0.092607975,0.153861761,0.061253786,0.065001249,0.112069607,0.047068357,0.090979576,0.075765848,-0.015213728,0.089586496,0.187755346,0.09816885,0.077701807,0.228392363,0.150690556,0.103468895,0.16068244,0.057213545,0.112376928,0.090591669,-0.021785259,0.102633238,0.103856325,0.001223087,0.087548494,0.039694071,-0.047854424,0.117782116,0.199753523,0.081971407,0.092104673
Harsh,1,37,0.09623003,0.121088982,0.024858952,0.066979885,0.099136114,0.032156229,0.111006498,0.076961517,-0.034044981,0.093405485,0.180856705,0.08745122,0.053142548,0.667210579,0.614068031,0.116178036,0.201963663,0.085785627,0.114127398,0.147031546,0.032904148,0.118604899,0.058837175,-0.059767723,0.141477108,0.0833745,-0.058102608,0.119582176,0.181732178,0.062150002,0.125099897
Harsh,1,38,0.08763504,0.20208931,0.114454269,0.074019194,0.102979422,0.028960228,0.096191406,0.082336187,-0.013855219,0.09626627,0.175483227,0.079216957,0.075365305,0.220249891,0.144884586,0.107454777,0.149924517,0.04246974,0.131382704,0.092674255,-0.038708448,0.091534376,0.068049431,-0.023484945,0.128142834,0.088523865,-0.039618969,0.086442471,0.159365892,0.072923422,0.118740082
Harsh,1,39,0.082645655,0.162726402,0.080080748,0.081599951,0.122812748,0.041212797,0.092446566,0.114454985,0.022008419,0.09389925,0.208622932,0.114723682,0.058380127,0.233812571,0.175432444,0.107862949,0.196466923,0.088603973,0.124144554,0.122969151,-0.001175404,0.111583233,0.068874836,-0.042708397,0.143128395,0.066601753,-0.076526642,0.123940468,0.181730032,0.057789564,0.125399113
Harsh,1,40,0.075342417,0.186267614,0.110925198,0.082664251,0.114178419,0.031514168,0.089741707,0.106958866,0.017217159,0.113956213,0.23079443,0.116838217,0.103961706,0.323830128,0.219868422,0.093405724,0.175318718,0.081912994,0.14505434,0.139478207,-0.005576134,0.126758337,0.079072714,-0.047685623,0.125502586,0.062669039,-0.062833548,0.115821838,0.197565079,0.08174324,0.116756916
Harsh,1,41,0.125277042,0.198356867,0.073079824,0.084568024,0.099485874,0.01491785,0.086531639,0.142311811,0.055780172,0.105330706,0.530334711,0.425004005,0.126535893,0.292011261,0.165475369,0.113123417,0.189924717,0.0768013,0.128980398,0.1212852,-0.007695198,0.130477667,0.075850487,-0.05462718,0.125380516,0.071496248,-0.053884268,0.124887705,0.199170828,0.074283123,0.120006323
Harsh,1,42,0.109088659,0.544733524,0.435644865,0.081516743,0.118949413,0.037432671,0.106849194,0.118052959,0.011203766,0.120885849,0.198416472,0.077530622,0.087817669,0.239548445,0.151730776,0.092214108,0.163403511,0.071189404,0.140590906,0.118515015,-0.022075891,0.114459992,0.055175066,-0.059284925,0.156074286,0.096034765,-0.06003952,0.104966164,0.174330711,0.069364548,0.103076935
Harsh,1,43,0.068098545,0.130807638,0.062709093,0.082360506,0.107224941,0.024864435,0.095870495,0.107506514,0.011636019,0.075175047,0.159247398,0.084072351,0.086076021,0.247239828,0.161163807,0.129656553,0.244212389,0.114555836,0.139277935,0.122737646,-0.016540289,0.11626339,0.018331289,-0.0979321,0.157421112,0.120209694,-0.037211418,0.097308636,0.165378571,0.068069935,0.135104895
Harsh,1,44,0.096171141,0.138073444,0.041902304,0.082240105,0.125225306,0.042985201,0.100626946,0.088574409,-0.012052536,0.085428238,0.168531418,0.08310318,0.083060026,0.351232529,0.268172503,0.09745574,0.223422766,0.125967026,0.109666824,0.110800743,0.001133919,0.095863104,0.087825775,-0.008037329,0.10410738,0.041325569,-0.062781811,0.119019985,0.173140049,0.054120064,0.126799822
Harsh,1,45,0.086479187,0.130372524,0.043893337,0.076226234,0.098098993,0.021872759,0.128404617,0.108328104,-0.020076513,0.066641808,0.172497034,0.105855227,0.08032608,0.266330719,0.186004639,0.111108303,0.261617899,0.150509596,0.128696203,0.171166897,0.042470694,0.103571177,0.094079733,-0.009491444,0.12774086,0.0894382,-0.03830266,0.089921474,0.171724558,0.081803083,0.111193657
Harsh,1,46,0.087729692,0.160542488,0.072812796,0.076853514,0.094670534,0.01781702,0.105505943,0.114058733,0.00855279,0.084327936,0.183607817,0.099279881,0.074580193,0.536215544,0.461635351,0.096815348,0.169867516,0.073052168,0.137526274,0.135299206,-0.002227068,0.128888607,0.052547216,-0.076341391,0.162027121,0.089340448,-0.072686672,0.116398573,0.183940649,0.067542076,0.130943298
Harsh,1,47,0.094026089,0.142352343,0.048326254,0.085822344,0.120876551,0.035054207,0.126576901,0.10520339,-0.02137351,0.085392475,0.776246309,0.690853834,0.097311974,0.273802757,0.176490784,0.088365078,0.173113346,0.084748268,0.112798929,0.131728172,0.018929243,0.134259939,0.095296621,-0.038963318,0.143052578,0.06894207,-0.074110508,0.138647318,0.215702772,0.077055454,0.1189363
Harsh,1,48,0.098915577,0.143207789,0.044292212,0.061906815,0.102821112,0.040914297,0.103113651,0.091311693,-0.011801958,0.075855494,0.161128759,0.085273266,0.083268642,0.365209341,0.281940699,0.087377071,0.262011051,0.17463398,0.136415482,0.181564808,0.045149326,0.11808753,0.104909897,-0.013177633,0.153018475,0.113508225,-0.03951025,0.115138054,0.211494446,0.096356392,0.139844894
Harsh,1,49,0.090664625,0.144695997,0.054031372,0.082969427,0.093997955,0.011028528,0.128379107,0.126739264,-0.001639843,0.12362504,0.280523062,0.156898022,0.099388599,0.340453625,0.241065025,0.105792522,0.190420866,0.084628344,0.120898485,0.105080128,-0.015818357,0.12796545,0.099240541,-0.028724909,0.115600109,0.056507587,-0.059092522,0.125208855,0.184770107,0.059561253,0.13548851
